p0_sim,delay_time_sim,p0_minus_pth_sim,p0_analytic,delay_time_analytic,p0_minus_pth_fit,delay_time_fit
,,,,,2.404573741206e-10,1.384483482239e+09
,,,,,2.419145101759e-10,1.380555955271e+09
,,,,,2.433716462312e-10,1.376663055865e+09
,,,,,2.448287822864e-10,1.372804274122e+09
,,,,,2.462859183417e-10,1.368979110631e+09
,,,,,2.477430543970e-10,1.365187076191e+09
,,,,,2.492001904523e-10,1.361427691540e+09
,,,,,2.506573265075e-10,1.357700487103e+09
,,,,,2.521144625628e-10,1.354005002734e+09
,,,,,2.535715986181e-10,1.350340787480e+09
,,,,,2.550287346734e-10,1.346707399341e+09
,,,,,2.564858707286e-10,1.343104405044e+09
,,,,,2.579430067839e-10,1.339531379823e+09
,,,,,2.594001428392e-10,1.335987907206e+09
,,,,,2.608572788945e-10,1.332473578804e+09
,,,,,2.623144149497e-10,1.328987994113e+09
,,,,,2.637715510050e-10,1.325530760317e+09
,,,,,2.652286870603e-10,1.322101492102e+09
,,,,,2.666858231156e-10,1.318699811469e+09
,,,,,2.681429591709e-10,1.315325347557e+09
,,,,,2.696000952261e-10,1.311977736473e+09
,,,,,2.710572312814e-10,1.308656621121e+09
,,,,,2.725143673367e-10,1.305361651039e+09
,,,,,2.739715033920e-10,1.302092482245e+09
,,,,,2.754286394472e-10,1.298848777079e+09
,,,,,2.768857755025e-10,1.295630204058e+09
,,,,,2.783429115578e-10,1.292436437727e+09
,,,,,2.798000476131e-10,1.289267158524e+09
,,,,,2.812571836683e-10,1.286122052636e+09
,,,,,2.827143197236e-10,1.283000811875e+09
,,,,,2.841714557789e-10,1.279903133540e+09
,,,,,2.856285918342e-10,1.276828720301e+09
,,,,,2.870857278894e-10,1.273777280067e+09
,,,,,2.885428639447e-10,1.270748525876e+09
,,,,,2.900000000000e-10,1.267742175776e+09
