p0 (For observed curve),n_qc_max (For observed curve),p0(For analytic curve),n_qc_max (For analytic curve)
,,1.989417883577e-10,0.000000000000e+00
,,1.990018003601e-10,0.000000000000e+00
,,1.990618123625e-10,0.000000000000e+00
,,1.991218243649e-10,0.000000000000e+00
,,1.991818363673e-10,0.000000000000e+00
,,1.992418483697e-10,0.000000000000e+00
,,1.993018603721e-10,0.000000000000e+00
,,1.993618723745e-10,0.000000000000e+00
,,1.994218843769e-10,0.000000000000e+00
,,1.994818963793e-10,0.000000000000e+00
,,1.995419083817e-10,0.000000000000e+00
,,1.996019203841e-10,0.000000000000e+00
,,1.996619323865e-10,0.000000000000e+00
,,1.997219443889e-10,0.000000000000e+00
,,1.997819563913e-10,0.000000000000e+00
,,1.998419683937e-10,0.000000000000e+00
,,1.999019803961e-10,0.000000000000e+00
,,1.999619923985e-10,0.000000000000e+00
,,2.000220044009e-10,1.483224856269e-02
,,2.000820164033e-10,2.862676679812e-02
,,2.001420284057e-10,3.765991233037e-02
,,2.002020404081e-10,4.490354357244e-02
,,2.002620524105e-10,5.112406900217e-02
,,2.003220644129e-10,5.665947918266e-02
,,2.003820764153e-10,6.169447009367e-02
,,2.004420884177e-10,6.634308231841e-02
,,2.005021004201e-10,7.068159829349e-02
,,2.005621124225e-10,7.476402810182e-02
,,2.006221244249e-10,7.863027541902e-02
,,2.006821364273e-10,8.231081483056e-02
,,2.007421484297e-10,8.582954579078e-02
,,2.008021604321e-10,8.920562339074e-02
,,2.008621724345e-10,9.245468150671e-02
,,2.009221844369e-10,9.558967802989e-02
,,2.009821964393e-10,9.862149580263e-02
,,2.010422084417e-10,1.015593803951e-01
,,2.011022204441e-10,1.044112658109e-01
,,2.011622324465e-10,1.071840213167e-01
,,2.012222444489e-10,1.098836415582e-01
,,2.012822564513e-10,1.125153951240e-01
,,2.013422684537e-10,1.150839421456e-01
,,2.014022804561e-10,1.175934284768e-01
,,2.014622924585e-10,1.200475619125e-01
,,2.015223044609e-10,1.224496744652e-01
,,2.015823164633e-10,1.248027736959e-01
,,2.016423284657e-10,1.271095853628e-01
,,2.017023404681e-10,1.293725891183e-01
,,2.017623524705e-10,1.315940485914e-01
,,2.018223644729e-10,1.337760368994e-01
,,2.018823764753e-10,1.359204584087e-01
,,2.019423884777e-10,1.380290673993e-01
,,2.020024004801e-10,1.401034841546e-01
,,2.020624124825e-10,1.421452088970e-01
,,2.021224244849e-10,1.441556339134e-01
,,2.021824364873e-10,1.461360541486e-01
,,2.022424484897e-10,1.480876764974e-01
,,2.023024604921e-10,1.500116279858e-01
,,2.023624724945e-10,1.519089629990e-01
,,2.024224844969e-10,1.537806696894e-01
,,2.024824964993e-10,1.556276756742e-01
,,2.025425085017e-10,1.574508531184e-01
,,2.026025205041e-10,1.592510232806e-01
,,2.026625325065e-10,1.610289605902e-01
,,2.027225445089e-10,1.627853963148e-01
,,2.027825565113e-10,1.645210218642e-01
,,2.028425685137e-10,1.662364917779e-01
,,2.029025805161e-10,1.679324264286e-01
,,2.029625925185e-10,1.696094144773e-01
,,2.030226045209e-10,1.712680151046e-01
,,2.030826165233e-10,1.729087600450e-01
,,2.031426285257e-10,1.745321554433e-01
,,2.032026405281e-10,1.761386835526e-01
,,2.032626525305e-10,1.777288042903e-01
,,2.033226645329e-10,1.793029566652e-01
,,2.033826765353e-10,1.808615600904e-01
,,2.034426885377e-10,1.824050155913e-01
,,2.035027005401e-10,1.839337069193e-01
,,2.035627125425e-10,1.854480015803e-01
,,2.036227245449e-10,1.869482517861e-01
,,2.036827365473e-10,1.884347953344e-01
,,2.037427485497e-10,1.899079564255e-01
,,2.038027605521e-10,1.913680464196e-01
,,2.038627725545e-10,1.928153645414e-01
,,2.039227845569e-10,1.942501985349e-01
,,2.039827965593e-10,1.956728252745e-01
,,2.040428085617e-10,1.970835113331e-01
,,2.041028205641e-10,1.984825135147e-01
,,2.041628325665e-10,1.998700793501e-01
,,2.042228445689e-10,2.012464475618e-01
,,2.042828565713e-10,2.026118484993e-01
,,2.043428685737e-10,2.039665045462e-01
,,2.044028805761e-10,2.053106305032e-01
,,2.044628925785e-10,2.066444339470e-01
,,2.045229045809e-10,2.079681155682e-01
,,2.045829165833e-10,2.092818694884e-01
,,2.046429285857e-10,2.105858835593e-01
,,2.047029405881e-10,2.118803396442e-01
,,2.047629525905e-10,2.131654138837e-01
,,2.048229645929e-10,2.144412769462e-01
,,2.048829765953e-10,2.157080942642e-01
