x_position,avg_sqrt_s,sqrt_avg_s
6.6758843889e+00,2.0806713368e-05,2.0808382062e-05
7.0685834706e+00,2.0848573043e-05,2.0849505334e-05
7.4612825523e+00,2.0908387976e-05,2.0908647388e-05
7.8539816340e+00,2.0976176963e-05,2.0976176963e-05
8.2466807157e+00,2.1043292079e-05,2.1043543229e-05
8.6393797974e+00,2.1101248714e-05,2.1102123719e-05
9.0320788791e+00,2.1141125691e-05,2.1142657946e-05
9.4247779608e+00,2.1155443950e-05,2.1157258518e-05
9.8174770425e+00,2.1141108505e-05,2.1142640231e-05
1.0210176124e+01,2.1101213932e-05,2.1102088222e-05
1.0602875206e+01,2.1043239109e-05,2.1043489835e-05
1.0995574288e+01,2.0976176963e-05,2.0976176963e-05
1.1388273369e+01,2.0908333792e-05,2.0908593649e-05
1.1780972451e+01,2.0848536324e-05,2.0849469406e-05
1.2173671533e+01,2.0806694759e-05,2.0808364063e-05
1.2566370614e+01,2.0791526087e-05,2.0793518509e-05
1.2959069696e+01,2.0806713368e-05,2.0808382062e-05
1.3351768778e+01,2.0848573043e-05,2.0849505334e-05
1.3744467859e+01,2.0908387976e-05,2.0908647388e-05
1.4137166941e+01,2.0976176963e-05,2.0976176963e-05
1.4529866023e+01,2.1043292079e-05,2.1043543229e-05
1.4922565105e+01,2.1101248714e-05,2.1102123719e-05
